fecha,tmed
2023-12-31,19.246161323299404
2024-12-31,19.31908460928905
2025-12-31,19.364261522835402
2026-12-31,19.40952653827454
2027-12-31,19.454873475850512
2028-12-31,19.50029658927572
2029-12-31,19.545790535326063
2030-12-31,19.591350345568706
2031-12-31,19.636971400072994
2032-12-31,19.68264940296539
2033-12-31,19.728380359699017
2034-12-31,19.774160555917625
2035-12-31,19.819986537802116
2036-12-31,19.865855093795588
2037-12-31,19.91176323761029
2038-12-31,19.957708192426498
2039-12-31,20.00368737619973
2040-12-31,20.049698387998586
2041-12-31,20.09573899530087
2042-12-31,20.141807122180833
2043-12-31,20.187900838324953
2044-12-31,20.234018348818253
2045-12-31,20.28015798464697
2046-12-31,20.326318193867458
2047-12-31,20.372497533394483
2048-12-31,20.418694661365553
2049-12-31,20.464908330040807
2050-12-31,20.51113737920096
2051-12-31,20.55738073000832
2052-12-31,20.603637379298398
2053-12-31,20.64990639427197
2054-12-31,20.696186907559404
2055-12-31,20.742478112631225
2056-12-31,20.78877925953058
2057-12-31,20.835089650905044
2058-12-31,20.881408638316795
2059-12-31,20.92773561881156
2060-12-31,20.974070031728264
2061-12-31,21.020411355732428
2062-12-31,21.06675910605769
2063-12-31,21.113112831940803
2064-12-31,21.15947211423652
2065-12-31,21.205836563199817
2066-12-31,21.252205816423682
2067-12-31,21.298579536921498
2068-12-31,21.344957411344012
2069-12-31,21.391339148321308
2070-12-31,21.43772447692112
2071-12-31,21.484113145215247
2072-12-31,21.53050491894657
2073-12-31,21.576899580289535
2074-12-31,21.623296926697574
2075-12-31,21.66969676983142
2076-12-31,21.71609893456252
2077-12-31,21.76250325804643
2078-12-31,21.808909588861134
2079-12-31,21.855317786205866
2080-12-31,21.90172771915608
2081-12-31,21.948139265970713
2082-12-31,21.99455231344802
2083-12-31,22.040966756326586
2084-12-31,22.087382496728395
2085-12-31,22.133799443640903
2086-12-31,22.18021751243549
2087-12-31,22.226636624419665
2088-12-31,22.273056706420686
2089-12-31,22.319477690398386
2090-12-31,22.365899513085164
2091-12-31,22.412322115651207
2092-12-31,22.458745443393227
2093-12-31,22.505169445445
2094-12-31,22.551594074508223
2095-12-31,22.59801928660226
2096-12-31,22.644445040831414
2097-12-31,22.69087129916855
2098-12-31,22.737298026253875
2099-12-31,22.783725189207853
2100-12-31,22.830152757457228
